"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"1","Consultation OPD","Consultation","TIER I","SUPERSPECIALITY","PRIVATE WARD","CN001","350.00"
"2","Consultation for Inpatients","Consultation","TIER I","SUPERSPECIALITY","PRIVATE WARD","CN002","350.00"
"3","Consultation OPD- Super speciality/Psychiatry","Consultation","TIER I","SUPERSPECIALITY","PRIVATE WARD","CN003","700.00"
"4","Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB001","100.00"
"5","Urine Microalbumin","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB002","243.00"
"6","Stool Routine and Microscopy","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB003","80.00"
"7","Stool for Occult Blood","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB004","100.00"
"8","Post Coital Smear Examination","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB005","400.00"
"9","Semen Analysis (Automated/Manual)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB006","250.00"
"10","Haemoglobin (Hb)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB007","50.00"
"11","Total Leucocytic Count (TLC)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB008","50.00"
"12","Differential Leucocytic Count (DLC)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB009","100.00"
"13","Erythrocyte Sedimentation Rate (ESR)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB010","100.00"
"14","Total Red Cell count with MCV,MCH,MCHC,DRW","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB011","50.00"
"15","Complete Haemogram/CBC, Hb,RBC Count and Indices,TLC, DLC, Platelet, ESR, Peripheral Smear Examination)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB012","300.00"
"16","Platelet Count","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB013","100.00"
"17","Reticulocyte Count","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB014","100.00"
"18","Absolute Eosinophil Count (AEC)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB015","100.00"
"19","Packed Cell Volume (PCV)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB016","50.00"
"20","Peripheral Smear Examination","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB017","100.00"
"21","Smear for Malaria/Filaria Parasite","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB018","100.00"
"22","Bleeding Time","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB019","50.00"
"23","Clotting Time","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB020","50.00"
"24","Osmotic Fragility Test","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB021","300.00"
"25","Bone Marrow Smear Examination","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB022","350.00"
"26","Bone Marrow Smear Examination with Iron Stain","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB023","800.00"
"27","Bone Marrow Smear Examination and Cytochemistry","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB024","12000.00"
"28","Activated Partial Thromboplastin Time (APTT)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB025","290.00"
"29","Rapid Test for Malaria (Card Test)/QBC Malaria Test","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB026","100.00"
"30","Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB027","800.00"
"31","Factor Assays-Factor VIII","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB028","1500.00"
"32","Factor Assays-Factor IX","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB029","1500.00"
"33","Platelet Function Tests","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB030","1265.00"
"34","Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB031","3380.00"
"35","Tests for Lupus Anticoagulant","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB032","1300.00"
"36","Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB033","1000.00"
"37","Thalassemia Studies (Red Cell Indices and Hb HPLC)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB034","1000.00"
"38","Tests for Sickling / Hb HPLC)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB035","1000.00"
"39","Blood Group & Rh Type","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB036","90.00"
"40","Cross Match","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB037","200.00"
"41","Coomb-s Test - Direct","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB038","200.00"
"42","Coomb-s Test - Indirect","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB039","250.00"
"43","3 Cell Panel- Antibody Screening for Pregnant Female","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB040","1050.00"
"44","11 Cells Panel for Antibody Identification","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB041","2285.00"
"45","Hepatitis B Surface Antigen (HBsAg)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB042","300.00"
"46","Hepatitis C Virus (HCV)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB043","500.00"
"47","Human Immunodeficiency Virus- HIV I and II","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB044","385.00"
"48","Venereal Disease Research Laboratory Test (VDRL)","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB045","100.00"
"49","Rh Antibody Titre","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB046","300.00"
"50","Platelet Concentrate Test","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB047","1000.00"
"51","Routine - H & E","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB048","545.00"
"52","Special Stain","Laboratory Investigation","TIER I","SUPERSPECIALITY","PRIVATE WARD","LB049","200.00"
